"","GEOID","NAME","P13_001N","P13_002N","P13_003N"
"1","09","Connecticut",41.1,39.7,42.6
"2","10","Delaware",41.1,39.6,42.7
"3","11","District of Columbia",33.9,34,33.9
"4","12","Florida",43,41.5,44.5
"5","13","Georgia",37.5,36.2,38.7
"6","15","Hawaii",40.8,39.5,42.2
"7","16","Idaho",36.8,36,37.7
"8","17","Illinois",38.8,37.6,40
"9","18","Indiana",38.2,37.1,39.4
"10","19","Iowa",38.6,37.6,39.8
"11","20","Kansas",37.4,36.3,38.6
"12","21","Kentucky",39.4,38.2,40.6
"13","22","Louisiana",38.1,37,39.1
"14","23","Maine",45.1,43.7,46.5
"15","24","Maryland",38.8,37.4,40.2
"16","25","Massachusetts",39.9,38.5,41.1
"17","26","Michigan",40.1,38.8,41.4
"18","27","Minnesota",38.4,37.7,39.3
"19","28","Mississippi",39,37.7,40.2
"20","29","Missouri",39,37.7,40.2
"21","30","Montana",40.5,39.7,41.3
"22","31","Nebraska",36.9,36,37.9
"23","32","Nevada",38.6,37.8,39.3
"24","33","New Hampshire",43.6,42.4,44.9
"25","34","New Jersey",39.9,38.3,41.2
"26","35","New Mexico",39.2,37.8,40.5
"27","36","New York",39,37.6,40.4
"28","37","North Carolina",39.4,37.9,40.7
"29","38","North Dakota",35.8,35.2,36.5
"30","39","Ohio",39.8,38.6,41.1
"31","40","Oklahoma",37.3,36.2,38.5
"32","41","Oregon",39.9,39,40.9
"33","42","Pennsylvania",41,39.7,42.4
"34","44","Rhode Island",40.5,39,42
"35","45","South Carolina",40.5,39.2,41.9
"36","46","South Dakota",37.7,36.8,38.7
"37","47","Tennessee",39.1,37.9,40.2
"38","48","Texas",35.6,34.7,36.5
"39","49","Utah",31.3,30.6,32
"40","50","Vermont",43.5,42.2,44.7
"41","51","Virginia",38.7,37.4,39.9
"42","53","Washington",38.1,37.1,39.1
"43","54","West Virginia",42.9,41.7,44.2
"44","55","Wisconsin",40.1,39.2,41
"45","56","Wyoming",38.7,38.1,39.4
"46","72","Puerto Rico",45.2,43.5,46.6
"47","01","Alabama",39.7,38.4,40.8
"48","02","Alaska",35.6,35.3,36
"49","04","Arizona",38.9,37.7,40.2
"50","05","Arkansas",38.8,37.6,40
"51","06","California",37.5,36.3,38.7
"52","08","Colorado",37.2,36.3,38.2
